relative_path,action,old_head,new_head
amara_full_body_0002.txt,changed,236135Amara's left-back body (excluding her lower legs): She is turning back to ,yoyo236135Amara's left-back body (excluding her lower legs): She is turning back
amara_full_body_0003.txt,changed,236135Amara (excluding her knees and lower legs) standing against a white backgr,yoyo236135Amara (excluding her knees and lower legs) standing against a white ba
amara_full_body_0004.txt,changed,"236135Amara is kneeling on the ground, set against a white background. Both her ","yoyo236135Amara is kneeling on the ground, set against a white background. Both "
amara_full_body_0009.txt,changed,"236135Amara (excluding her lower legs) is standing outdoors, with some wooden lo","yoyo236135Amara (excluding her lower legs) is standing outdoors, with some woode"
amara_full_body_0012.txt,changed,236135Amara is kneeling down on a white posidum in the middle of what looks to b,yoyo236135Amara is kneeling down on a white posidum in the middle of what looks 
amara_full_body_0013.txt,changed,236135Amara is standing in the middle of a street (her knees and lower legs not ,yoyo236135Amara is standing in the middle of a street (her knees and lower legs 
amara_full_body_0014.txt,changed,236135Amara is standing in the middle of a street in a city (her knees and lower,yoyo236135Amara is standing in the middle of a street in a city (her knees and l
amara_full_body_0016.txt,changed,"236135Amara is sitting on a stone bench (lower legs not visible), her body leani","yoyo236135Amara is sitting on a stone bench (lower legs not visible), her body l"
amara_full_body_0017.txt,changed,"236135Amara is on a fashion, her right hand on her waist and her left arm dangli","yoyo236135Amara is on a fashion, her right hand on her waist and her left arm da"
amara_full_body_0018.txt,changed,"236135Amara is standing on a rooftop, her right hand on her right-side waist. Sh","yoyo236135Amara is standing on a rooftop, her right hand on her right-side waist"
amara_full_body_0020.txt,changed,236135Amara on a rooftop - She loves rooftops! Amara's hands are playing with he,yoyo236135Amara on a rooftop - She loves rooftops! Amara's hands are playing wit
amara_full_body_0021.txt,changed,"236135Amara kneeling on a bed, her face tilted and turned slightly to her right.","yoyo236135Amara kneeling on a bed, her face tilted and turned slightly to her ri"
amara_full_body_0024.txt,changed,"236135Amara posing in the street, her left arm tucked nicely behind her left bre","yoyo236135Amara posing in the street, her left arm tucked nicely behind her left"
amara_full_body_0025.txt,changed,"236135Amara standing alone on a beach, her face tilted and turned slightly to he","yoyo236135Amara standing alone on a beach, her face tilted and turned slightly t"
amara_full_body_0026.txt,changed,"236135Amara sitting cross-legged on the beach, her face turned slightly to her l","yoyo236135Amara sitting cross-legged on the beach, her face turned slightly to h"
amara_full_body_0028.txt,changed,"236135Amara in a single-piece / one-piece red swimsuit, her large breasts bulgin","yoyo236135Amara in a single-piece / one-piece red swimsuit, her large breasts bu"
amara_full_body_0029.txt,changed,236135Amara wearing a mid-length pink nightie / dress (her knees and lower legs ,yoyo236135Amara wearing a mid-length pink nightie / dress (her knees and lower l
amara_full_body_0030.txt,changed,236135Amara in bondage rope (her lower thighs and lower legs excluded from the p,yoyo236135Amara in bondage rope (her lower thighs and lower legs excluded from t
amara_full_body_0031.txt,changed,236135Amara - Full-frontal view: Amara is standing in front of a white backgroun,yoyo236135Amara - Full-frontal view: Amara is standing in front of a white backg
amara_full_body_0033.txt,changed,236135Amara's front-view: Amara smiling. Her body is default - This is how her b,yoyo236135Amara's front-view: Amara smiling. Her body is default - This is how h
amara_full_body_0034.txt,changed,"236135Amara's left-front body: She has a sultry expression, and has a bedsheet d","yoyo236135Amara's left-front body: She has a sultry expression, and has a bedshe"
amara_full_body_0035.txt,changed,"236135Amara's upper body and face: She is smiling a little, and is wearing a bla","yoyo236135Amara's upper body and face: She is smiling a little, and is wearing a"
amara_full_body_0037.txt,changed,236135Amara kneeling: Her expression is sultry. She is wearing a one-piece linge,yoyo236135Amara kneeling: Her expression is sultry. She is wearing a one-piece l
amara_full_body_0038.txt,changed,236135Amara kneeling on the bed. Her expression is sultry. Her body is default. ,yoyo236135Amara kneeling on the bed. Her expression is sultry. Her body is defau
amara_full_body_0039.txt,changed,"236135Amara standing outdoors, smiling. Her body is default. Her vagina is almos","yoyo236135Amara standing outdoors, smiling. Her body is default. Her vagina is a"
amara_full_body_0040.txt,changed,"236135Amara outdoors. She is wearing a dark blue jeans, and a pop-out bra made o","yoyo236135Amara outdoors. She is wearing a dark blue jeans, and a pop-out bra ma"
amara_full_body_0041.txt,changed,236135Amara standing outdoors. Her expression is mild sultry. This is her perfec,yoyo236135Amara standing outdoors. Her expression is mild sultry. This is her pe
amara_full_body_0044.txt,changed,236135Amara with a very slight smirk. This is her default body: Gorgeous!,yoyo236135Amara with a very slight smirk. This is her default body: Gorgeous!
amara_full_body_0045.txt,changed,"236135Amara standing outdoors in the parking lot. Her expression is a mild, subt","yoyo236135Amara standing outdoors in the parking lot. Her expression is a mild, "
amara_full_body_0046.txt,changed,236135Amara standing outdoors. A thin patterned cloth is draped over her shoulde,yoyo236135Amara standing outdoors. A thin patterned cloth is draped over her sho
amara_full_body_0047.txt,changed,236135Amara: View from overhead high-angle.,yoyo236135Amara: View from overhead high-angle.
amara_full_body_0048.txt,changed,236135Amara standing outdoors. Her expression is a very slight smirk.,yoyo236135Amara standing outdoors. Her expression is a very slight smirk.
amara_full_body_0049.txt,changed,236135Amara sitting on a bench in a balcony. Her breasts are looking almost perf,yoyo236135Amara sitting on a bench in a balcony. Her breasts are looking almost 
amara_full_body_0050.txt,changed,"236135Amara on the deck of a ship, her hand on the railing. This is Amara's defa","yoyo236135Amara on the deck of a ship, her hand on the railing. This is Amara's "
