relative_path,action,old_head,new_head
amara_full_body_0002.txt,changed,Amara's left-back body (excluding her lower legs): She is turning back to look a,yoyoAmara's left-back body (excluding her lower legs): She is turning back to lo
amara_full_body_0003.txt,changed,"Amara (excluding her knees and lower legs) standing against a white background, ",yoyoAmara (excluding her knees and lower legs) standing against a white backgrou
amara_full_body_0004.txt,changed,"Amara is kneeling on the ground, set against a white background. Both her hands ","yoyoAmara is kneeling on the ground, set against a white background. Both her ha"
amara_full_body_0009.txt,changed,"Amara (excluding her lower legs) is standing outdoors, with some wooden logs and","yoyoAmara (excluding her lower legs) is standing outdoors, with some wooden logs"
amara_full_body_0012.txt,changed,Amara is kneeling down on a white posidum in the middle of what looks to be an a,yoyoAmara is kneeling down on a white posidum in the middle of what looks to be 
amara_full_body_0013.txt,changed,Amara is standing in the middle of a street (her knees and lower legs not visibl,yoyoAmara is standing in the middle of a street (her knees and lower legs not vi
amara_full_body_0014.txt,changed,Amara is standing in the middle of a street in a city (her knees and lower legs ,yoyoAmara is standing in the middle of a street in a city (her knees and lower l
amara_full_body_0016.txt,changed,"Amara is sitting on a stone bench (lower legs not visible), her body leaning to ","yoyoAmara is sitting on a stone bench (lower legs not visible), her body leaning"
amara_full_body_0017.txt,changed,"Amara is on a fashion, her right hand on her waist and her left arm dangling bes","yoyoAmara is on a fashion, her right hand on her waist and her left arm dangling"
amara_full_body_0018.txt,changed,"Amara is standing on a rooftop, her right hand on her right-side waist. She is l","yoyoAmara is standing on a rooftop, her right hand on her right-side waist. She "
amara_full_body_0020.txt,changed,Amara on a rooftop - She loves rooftops! Amara's hands are playing with her hair,yoyoAmara on a rooftop - She loves rooftops! Amara's hands are playing with her 
amara_full_body_0021.txt,changed,"Amara kneeling on a bed, her face tilted and turned slightly to her right. Amara","yoyoAmara kneeling on a bed, her face tilted and turned slightly to her right. A"
amara_full_body_0024.txt,changed,"Amara posing in the street, her left arm tucked nicely behind her left breast. A","yoyoAmara posing in the street, her left arm tucked nicely behind her left breas"
amara_full_body_0025.txt,changed,"Amara standing alone on a beach, her face tilted and turned slightly to her righ","yoyoAmara standing alone on a beach, her face tilted and turned slightly to her "
